Episod,RecompensaTotala,Epsilon
1,-67200.0,1.0000
2,-65000.0,0.9900
3,-61200.0,0.9801
4,-64200.0,0.9703
5,-59200.0,0.9606
6,-65600.0,0.9510
7,-70000.0,0.9415
8,-64000.0,0.9321
9,-67400.0,0.9227
10,-55000.0,0.9135
11,-61400.0,0.9044
12,-59000.0,0.8953
13,-61600.0,0.8864
14,-68200.0,0.8775
15,-64200.0,0.8687
16,-62800.0,0.8601
17,-54400.0,0.8515
18,-63400.0,0.8429
19,-61600.0,0.8345
20,-57000.0,0.8262
21,-55400.0,0.8179
22,-56000.0,0.8097
23,-53400.0,0.8016
24,-58200.0,0.7936
25,-55800.0,0.7857
26,-56200.0,0.7778
27,-55800.0,0.7700
28,-56000.0,0.7623
29,-59000.0,0.7547
30,-59400.0,0.7472
31,-56600.0,0.7397
32,-57400.0,0.7323
33,-54200.0,0.7250
34,-57600.0,0.7177
35,-57400.0,0.7106
36,-58800.0,0.7034
37,-60200.0,0.6964
38,-64400.0,0.6894
39,-74200.0,0.6826
40,-77000.0,0.6757
41,-74000.0,0.6690
42,-80200.0,0.6623
43,-97800.0,0.6557
44,-85400.0,0.6491
45,-96200.0,0.6426
46,-92800.0,0.6362
47,-93800.0,0.6298
48,-89000.0,0.6235
49,-93600.0,0.6173
50,-96800.0,0.6111
51,-85800.0,0.6050
52,-83800.0,0.5990
53,-75000.0,0.5930
54,-58000.0,0.5870
55,-56600.0,0.5812
56,-55600.0,0.5754
57,-57200.0,0.5696
58,-58000.0,0.5639
59,-96800.0,0.5583
60,-68800.0,0.5527
61,-60600.0,0.5472
62,-62400.0,0.5417
63,-57600.0,0.5363
64,-54000.0,0.5309
65,-66600.0,0.5256
66,-75600.0,0.5203
67,-114000.0,0.5151
68,-94800.0,0.5100
69,-100000.0,0.5049
70,-100800.0,0.4998
71,-113400.0,0.4948
72,-58000.0,0.4899
73,-62800.0,0.4850
74,-63600.0,0.4801
75,-51400.0,0.4753
76,-51400.0,0.4706
77,-52600.0,0.4659
78,-56200.0,0.4612
79,-69200.0,0.4566
80,-68400.0,0.4520
81,-63000.0,0.4475
82,-54600.0,0.4430
83,-60200.0,0.4386
84,-60600.0,0.4342
85,-58400.0,0.4299
86,-67800.0,0.4256
87,-57200.0,0.4213
88,-63400.0,0.4171
89,-75800.0,0.4129
90,-74200.0,0.4088
91,-76400.0,0.4047
92,-50600.0,0.4007
93,-53000.0,0.3967
94,-54000.0,0.3927
95,-54000.0,0.3888
96,-63000.0,0.3849
97,-59200.0,0.3810
98,-53400.0,0.3772
99,-51600.0,0.3735
100,-51000.0,0.3697
101,-74600.0,0.3660
102,-82000.0,0.3624
103,-60200.0,0.3587
104,-61000.0,0.3552
105,-65600.0,0.3516
106,-52800.0,0.3481
107,-51800.0,0.3446
108,-71400.0,0.3412
109,-89600.0,0.3378
110,-72600.0,0.3344
111,-76400.0,0.3310
112,-73600.0,0.3277
113,-56600.0,0.3244
114,-55600.0,0.3212
115,-71000.0,0.3180
116,-53800.0,0.3148
117,-54200.0,0.3117
118,-55600.0,0.3085
119,-53800.0,0.3055
120,-51400.0,0.3024
121,-51600.0,0.2994
122,-58000.0,0.2964
123,-67400.0,0.2934
124,-68600.0,0.2905
125,-72600.0,0.2876
126,-69000.0,0.2847
127,-75000.0,0.2819
128,-69200.0,0.2790
129,-59200.0,0.2763
130,-56400.0,0.2735
131,-52600.0,0.2708
132,-55600.0,0.2680
133,-71800.0,0.2654
134,-56000.0,0.2627
135,-58400.0,0.2601
136,-58000.0,0.2575
137,-86000.0,0.2549
138,-91000.0,0.2524
139,-75600.0,0.2498
140,-87000.0,0.2473
141,-52200.0,0.2449
142,-50200.0,0.2424
143,-55200.0,0.2400
144,-57600.0,0.2376
145,-65000.0,0.2352
146,-72200.0,0.2329
147,-79400.0,0.2305
148,-76200.0,0.2282
149,-68200.0,0.2259
150,-58400.0,0.2237
151,-62200.0,0.2215
152,-68000.0,0.2192
153,-57800.0,0.2170
154,-58200.0,0.2149
155,-57800.0,0.2127
156,-58000.0,0.2106
157,-59600.0,0.2085
158,-59200.0,0.2064
159,-57000.0,0.2043
160,-60400.0,0.2023
161,-61200.0,0.2003
162,-58800.0,0.1983
163,-58800.0,0.1963
164,-59400.0,0.1943
165,-59600.0,0.1924
166,-56400.0,0.1905
167,-65000.0,0.1886
168,-67600.0,0.1867
169,-71000.0,0.1848
170,-52800.0,0.1830
171,-59200.0,0.1811
172,-57600.0,0.1793
173,-58000.0,0.1775
174,-57600.0,0.1757
175,-56000.0,0.1740
176,-59800.0,0.1722
177,-74600.0,0.1705
178,-57400.0,0.1688
179,-57600.0,0.1671
180,-56400.0,0.1655
181,-56000.0,0.1638
182,-60400.0,0.1622
183,-57600.0,0.1605
184,-57800.0,0.1589
185,-93400.0,0.1574
186,-64600.0,0.1558
187,-96400.0,0.1542
188,-98600.0,0.1527
189,-108600.0,0.1512
190,-135200.0,0.1496
191,-59000.0,0.1481
192,-59800.0,0.1467
193,-62200.0,0.1452
194,-60800.0,0.1437
195,-62600.0,0.1423
196,-63800.0,0.1409
197,-73600.0,0.1395
198,-84600.0,0.1381
199,-108200.0,0.1367
200,-185800.0,0.1353
