Episod,RecompensaTotala,Epsilon
1,-66396,1.0000
2,-68436,0.9900
3,-65598,0.9801
4,-74276,0.9703
5,-64667,0.9606
6,-78245,0.9510
7,-71925,0.9415
8,-71426,0.9321
9,-72418,0.9227
10,-73004,0.9135
11,-65255,0.9044
12,-67239,0.8953
13,-71685,0.8864
14,-77183,0.8775
15,-59241,0.8687
16,-53235,0.8601
17,-54683,0.8515
18,-64822,0.8429
19,-79840,0.8345
20,-57075,0.8262
21,-55703,0.8179
22,-67333,0.8097
23,-76865,0.8016
24,-75995,0.7936
25,-55603,0.7857
26,-83622,0.7778
27,-52738,0.7700
28,-55001,0.7623
29,-71978,0.7547
30,-85319,0.7472
31,-48948,0.7397
32,-49467,0.7323
33,-53739,0.7250
34,-94476,0.7177
35,-77697,0.7106
36,-54105,0.7034
37,-50299,0.6964
38,-52006,0.6894
39,-53147,0.6826
40,-91487,0.6757
41,-95808,0.6690
42,-52541,0.6623
43,-50797,0.6557
44,-49872,0.6491
45,-100976,0.6426
46,-83595,0.6362
47,-52855,0.6298
48,-48974,0.6235
49,-56733,0.6173
50,-103115,0.6111
51,-49273,0.6050
52,-54079,0.5990
53,-103109,0.5930
54,-105114,0.5870
55,-65580,0.5812
56,-68707,0.5754
57,-51760,0.5696
58,-86424,0.5639
59,-103067,0.5583
60,-67006,0.5527
61,-54148,0.5472
62,-108918,0.5417
63,-93434,0.5363
64,-111549,0.5309
65,-81202,0.5256
66,-61837,0.5203
67,-114921,0.5151
68,-68945,0.5100
69,-38070,0.5049
70,-104962,0.4998
71,-54187,0.4948
72,-44473,0.4899
73,-68073,0.4850
74,-136172,0.4801
75,-76180,0.4753
76,-46402,0.4706
77,-152629,0.4659
78,-111058,0.4612
79,-120588,0.4566
80,-108517,0.4520
81,-56667,0.4475
82,-69390,0.4430
83,-108883,0.4386
84,-124992,0.4342
85,-37633,0.4299
86,-75465,0.4256
87,-67783,0.4213
88,-142496,0.4171
89,-123269,0.4129
90,-118843,0.4088
91,-41076,0.4047
92,-57204,0.4007
93,-68744,0.3967
94,-53265,0.3927
95,-130237,0.3888
96,-52032,0.3849
97,-134005,0.3810
98,-72079,0.3772
99,-136931,0.3735
100,-141011,0.3697
101,-65310,0.3660
102,-31730,0.3624
103,-129987,0.3587
104,-130755,0.3552
105,-73895,0.3516
106,-144554,0.3481
107,-54884,0.3446
108,-69237,0.3412
109,-92085,0.3378
110,-59203,0.3344
111,-38345,0.3310
112,-57652,0.3277
113,-94931,0.3244
114,-110064,0.3212
115,-33434,0.3180
116,-169380,0.3148
117,-94325,0.3117
118,-81123,0.3085
119,-144705,0.3055
120,-90452,0.3024
121,-37089,0.2994
122,-160881,0.2964
123,-157346,0.2934
124,-89633,0.2905
125,-129747,0.2876
126,-44080,0.2847
127,-188614,0.2819
128,-180411,0.2790
129,-177428,0.2763
130,-119160,0.2735
131,-102343,0.2708
132,-85703,0.2680
133,-65917,0.2654
134,-216406,0.2627
135,-184044,0.2601
136,-41851,0.2575
137,-87735,0.2549
138,-77704,0.2524
139,-212674,0.2498
140,-122644,0.2473
141,-41056,0.2449
142,-95760,0.2424
143,-196448,0.2400
144,-184844,0.2376
145,-108208,0.2352
146,-32346,0.2329
147,-212459,0.2305
148,-35073,0.2282
149,-71654,0.2259
150,-35113,0.2237
151,-199427,0.2215
152,-99397,0.2192
153,-164687,0.2170
154,-129168,0.2149
155,-30496,0.2127
156,-39072,0.2106
157,-154725,0.2085
158,-161209,0.2064
159,-205928,0.2043
160,-177523,0.2023
161,-43684,0.2003
162,-121545,0.1983
163,-78567,0.1963
164,-54934,0.1943
165,-73682,0.1924
166,-30938,0.1905
167,-229484,0.1886
168,-226073,0.1867
169,-233264,0.1848
170,-236423,0.1830
171,-232932,0.1811
172,-99081,0.1793
173,-170811,0.1775
174,-316748,0.1757
175,-265534,0.1740
176,-43261,0.1722
177,-91456,0.1705
178,-225946,0.1688
179,-229946,0.1671
180,-247318,0.1655
181,-53128,0.1638
182,-73502,0.1622
183,-33063,0.1605
184,-131942,0.1589
185,-102556,0.1574
186,-31828,0.1558
187,-226050,0.1542
188,-238315,0.1527
189,-202238,0.1512
190,-229335,0.1496
191,-235725,0.1481
192,-220775,0.1467
193,-235020,0.1452
194,-239043,0.1437
195,-73477,0.1423
196,-99081,0.1793
197,-170811,0.1775
198,-316748,0.1757
199,-265534,0.1740
200,-43261,0.1722
